Season,Team,Date,target,OT,points_scored,points_allowed,pass_yards,pass_touchdowns,interceptions,sacks,pass_yards_per_attempt,pass_completion_ratio,Rate,rush_yards_per_attempt,rush_touchdowns,punts,time_of_possession,extra_points_ratio,field_goal_ratio,third_down_ratio,fourth_down_ratio
2023,CRD,2023-09-10,0,0,16,20,114,0,0,3,4.4,70.0,76.2,3.8,0,5,1716,1.0,1.0,0.2857142857142857,0.0
2023,CRD,2023-09-17,0,0,28,31,228,1,0,0,7.4,67.7,99.9,5.2,2,3,1837,1.0,0.6666666666666666,0.4,0.0
2023,CRD,2023-09-24,1,0,28,16,178,1,0,2,9.0,81.0,117.9,7.4,2,2,1527,1.0,1.0,0.5,0.0
2023,CRD,2023-10-01,0,0,16,35,257,2,0,1,6.5,68.3,101.4,4.2,0,3,1846,1.0,1.0,0.5333333333333333,0.6666666666666666
2023,CRD,2023-10-08,0,0,20,34,152,2,2,3,5.2,46.9,55.7,6.5,1,4,1310,0.6666666666666666,0.0,0.36363636363636365,0.0
2023,CRD,2023-10-15,0,0,9,26,215,0,1,2,5.7,51.2,56.5,4.3,0,3,1830,0.0,1.0,0.375,0.5
2023,CRD,2023-10-22,0,0,10,20,122,0,0,4,4.4,58.8,66.1,5.1,1,5,1768,1.0,0.5,0.3333333333333333,0.0
2023,CRD,2023-10-29,0,0,24,31,181,2,2,2,5.6,67.6,74.3,4.0,1,4,1821,1.0,1.0,0.4166666666666667,0.0
2023,CRD,2023-11-05,0,0,0,27,17,0,2,7,2.9,55.0,20.8,2.0,0,9,1415,0.0,0.0,0.08333333333333333,0.0
2023,CRD,2023-11-12,1,0,25,23,230,0,1,2,7.8,59.4,68.5,4.7,2,3,1698,1.0,1.0,0.2727272727272727,1.0
2023,CRD,2023-11-19,0,0,16,21,196,1,1,3,7.1,66.7,82.1,4.9,1,2,1725,1.0,1.0,0.3,0.25
2023,CRD,2023-11-26,0,0,14,37,219,1,0,4,5.7,60.0,79.8,4.9,1,5,1508,0.0,0.0,0.35294117647058826,0.6666666666666666
2023,CRD,2023-12-03,1,0,24,10,132,1,0,2,6.3,56.5,87.6,3.9,2,5,1757,1.0,1.0,0.5882352941176471,0.0
2023,CRD,2023-12-17,0,0,29,45,202,1,2,3,5.4,66.7,66.4,7.8,2,2,2051,1.0,1.0,0.4375,0.75
2023,CRD,2023-12-24,0,0,16,27,213,2,0,2,6.1,63.2,95.6,4.7,0,6,1528,1.0,1.0,0.4375,0.0
2023,CRD,2023-12-31,1,0,35,31,228,3,1,1,7.5,80.6,116.1,5.5,1,0,2379,1.0,1.0,0.5,1.0
2023,CRD,2023-01-07,0,0,20,21,260,1,0,1,8.7,73.3,110.4,5.4,1,3,2163,1.0,0.5,0.38461538461538464,1.0
2023,ATL,2023-09-10,1,0,24,10,91,1,0,4,6.4,83.3,106.2,5.0,2,7,1519,1.0,1.0,0.2,0.0
2023,ATL,2023-09-17,1,0,25,24,235,1,1,1,7.4,59.4,79.6,4.7,1,1,2175,0.5,1.0,0.4,0.75
2023,ATL,2023-09-24,0,0,6,20,139,0,0,7,5.3,55.3,63.4,2.2,0,6,1623,0.0,0.6666666666666666,0.2857142857142857,0.0
2023,ATL,2023-10-01,0,0,7,23,160,1,2,4,6.2,61.3,58.5,5.8,0,5,1629,1.0,0.0,0.5,0.0
2023,ATL,2023-10-08,1,0,21,19,351,1,0,0,9.2,76.3,112.9,2.7,1,5,2132,1.0,1.0,0.5,0.0
2023,ATL,2023-10-15,0,0,16,24,296,2,3,3,6.5,59.6,65.6,3.7,0,3,2183,1.0,1.0,0.3333333333333333,0.3333333333333333
2023,ATL,2023-10-22,1,0,16,13,245,0,0,1,10.0,76.0,106.2,4.1,1,3,1799,1.0,1.0,0.5384615384615384,0.0
2023,ATL,2023-10-29,0,0,23,28,202,1,0,6,7.2,58.8,85.7,5.4,1,6,1621,1.0,1.0,0.26666666666666666,0.5
2023,ATL,2023-11-05,0,0,28,31,260,1,1,1,7.1,55.3,74.5,3.9,1,4,1708,1.0,1.0,0.5555555555555556,0.0
2023,ATL,2023-11-12,0,0,23,25,70,1,0,3,4.5,57.1,79.5,4.5,2,4,1902,1.0,1.0,0.5,0.5
2023,ATL,2023-11-26,1,0,24,15,168,1,2,0,8.0,61.9,63.3,5.6,1,2,1706,1.0,1.0,0.5,0.0
2023,ATL,2023-12-03,1,0,13,8,104,1,0,3,4.5,44.4,67.5,2.6,0,9,1774,1.0,1.0,0.2857142857142857,0.0
2023,ATL,2023-12-10,0,0,25,29,338,1,1,3,8.7,65.0,89.4,3.7,2,4,1700,1.0,0.3333333333333333,0.38461538461538464,1.0
2023,ATL,2023-12-17,0,0,7,9,152,1,1,0,7.6,60.0,79.6,1.7,0,5,1564,1.0,0.0,0.46153846153846156,0.0
2023,ATL,2023-12-24,1,0,29,10,229,1,0,1,6.9,69.7,99.2,5.9,1,3,1764,1.0,1.0,0.38461538461538464,1.0
2023,ATL,2023-12-31,0,0,17,37,173,1,4,2,5.5,39.4,27.3,5.6,1,3,1366,1.0,0.3333333333333333,0.3076923076923077,0.0
2023,ATL,2023-01-07,0,0,17,48,311,2,2,1,9.4,73.5,96.6,3.1,0,5,1570,1.0,1.0,0.36363636363636365,0.0
2023,RAV,2023-09-10,1,0,25,9,155,0,1,4,7.7,77.3,76.9,3.4,3,5,1855,1.0,1.0,0.5333333333333333,0.0
2023,RAV,2023-09-17,1,0,27,24,237,2,0,0,7.2,72.7,112.8,4.8,1,2,1984,1.0,0.6666666666666666,0.6428571428571429,0.0
2023,RAV,2023-09-24,0,1,19,22,178,0,0,4,6.5,71.0,85.1,5.0,2,7,1938,1.0,0.5,0.375,0.0
2023,RAV,2023-10-01,1,0,28,3,165,2,0,3,9.8,78.9,137.9,4.0,2,7,1790,1.0,0.0,0.3333333333333333,1.0
2023,RAV,2023-10-08,0,0,10,17,210,0,1,4,6.2,57.9,62.4,5.0,1,5,1814,1.0,1.0,0.35714285714285715,0.0
2023,RAV,2023-10-15,1,0,24,16,221,1,1,1,7.4,70.0,88.3,3.6,0,3,2142,0.0,1.0,0.5,0.0
2023,RAV,2023-10-22,1,0,38,6,357,3,0,0,12.8,75.0,152.4,5.4,2,2,1822,1.0,1.0,0.5,1.0
2023,RAV,2023-10-29,1,0,31,24,138,1,0,4,5.8,66.7,91.3,4.5,3,5,1779,1.0,0.5,0.36363636363636365,0.0
2023,RAV,2023-11-05,1,0,37,3,217,1,0,1,6.8,78.8,104.2,7.3,3,2,2404,1.0,1.0,0.46153846153846156,0.5
2023,RAV,2023-11-12,0,0,31,33,200,1,2,3,9.7,56.5,63.7,4.4,2,3,1545,1.0,0.5,0.25,0.0
2023,RAV,2023-11-16,1,0,34,20,248,2,0,3,10.2,61.5,118.7,5.1,2,4,1837,1.0,1.0,0.5,0.0
2023,RAV,2023-11-26,1,0,20,10,164,1,0,2,5.5,56.3,80.7,5.6,1,3,2003,1.0,0.6666666666666666,0.3076923076923077,0.3333333333333333
2023,RAV,2023-12-10,1,1,37,31,310,3,1,2,7.3,55.8,92.2,5.3,0,4,1663,1.0,1.0,0.3333333333333333,0.0
2023,RAV,2023-12-17,1,0,23,7,145,1,1,3,7.1,58.3,72.4,6.0,1,3,2059,1.0,1.0,0.4166666666666667,1.0
2023,RAV,2023-12-25,1,0,33,19,241,2,0,2,7.2,65.7,104.6,3.9,1,3,1874,1.0,1.0,0.36363636363636365,1.0
2023,RAV,2023-12-31,1,0,56,19,331,6,0,1,15.5,86.4,158.3,5.0,2,2,1823,1.0,0.0,0.5714285714285714,1.0
2023,RAV,2023-01-06,0,0,10,17,118,1,0,4,5.2,53.6,76.2,4.2,0,7,1506,1.0,1.0,0.3076923076923077,1.0
2023,RAV,2023-01-20,1,0,34,10,123,2,0,3,6.9,72.7,116.3,5.5,2,4,2255,1.0,1.0,0.3333333333333333,1.0
2023,RAV,2023-01-28,0,0,10,17,255,1,1,4,7.4,54.1,73.6,5.1,0,5,1350,1.0,1.0,0.2727272727272727,1.0
2023,BUF,2023-09-11,0,1,16,22,217,1,3,5,5.8,70.7,60.7,4.4,0,3,1988,1.0,1.0,0.38461538461538464,0.0
2023,BUF,2023-09-17,1,0,38,10,267,3,0,2,7.4,83.8,123.8,5.2,2,1,2404,1.0,1.0,0.5384615384615384,0.75
2023,BUF,2023-09-24,1,0,37,3,218,1,1,0,6.8,62.5,79.9,5.1,2,1,2079,1.0,1.0,0.6,0.0
2023,BUF,2023-10-01,1,0,48,20,310,4,0,2,12.8,84.0,157.9,3.6,2,2,1822,1.0,1.0,0.5,0.0
2023,BUF,2023-10-08,0,0,20,25,359,2,1,0,9.0,67.5,102.0,2.1,1,6,1308,1.0,0.0,0.4166666666666667,0.0
2023,BUF,2023-10-15,1,0,14,9,169,2,1,0,5.6,63.3,86.7,4.4,0,3,1716,1.0,0.0,0.5,0.0
2023,BUF,2023-10-22,0,0,25,29,258,2,1,1,6.5,65.9,89.3,3.4,1,1,1934,1.0,0.5,0.4166666666666667,0.6666666666666666
2023,BUF,2023-10-26,1,0,24,18,312,2,1,2,8.1,77.5,105.4,4.4,1,4,1917,1.0,1.0,0.5384615384615384,0.0
2023,BUF,2023-11-05,0,0,18,24,249,1,1,1,6.8,68.4,84.2,4.3,1,3,1402,1.0,1.0,0.5833333333333334,0.0
2023,BUF,2023-11-13,0,0,22,24,177,1,2,0,6.8,57.7,59.3,7.4,2,3,1359,1.0,0.0,0.375,0.0
2023,BUF,2023-11-19,1,0,32,6,263,3,1,1,8.6,62.5,106.6,3.4,0,3,2211,0.6666666666666666,1.0,0.38461538461538464,1.0
2023,BUF,2023-11-26,0,1,34,37,332,2,1,1,6.6,56.9,81.5,4.3,2,4,2430,1.0,0.5,0.5909090909090909,1.0
2023,BUF,2023-12-10,1,0,20,17,209,1,1,3,5.5,54.8,66.5,4.2,1,4,2121,1.0,1.0,0.4,1.0
2023,BUF,2023-12-17,1,0,31,10,85,1,0,1,6.3,46.7,86.8,5.4,3,2,2105,1.0,1.0,0.5555555555555556,0.0
2023,BUF,2023-12-23,1,0,24,22,230,1,1,1,11.3,71.4,103.3,3.5,2,4,1616,1.0,1.0,0.5,0.0
2023,BUF,2023-12-31,1,0,27,21,154,0,1,1,5.6,50.0,51.3,3.4,2,6,1972,1.0,1.0,0.4666666666666667,0.0
2023,BUF,2023-01-07,1,0,21,14,345,2,2,3,9.4,78.9,100.1,3.6,0,1,2287,1.0,0.0,0.6,0.3333333333333333
2023,BUF,2023-01-15,1,0,31,17,189,3,0,2,6.8,70.0,120.0,5.3,1,3,1999,1.0,0.3333333333333333,0.4166666666666667,1.0
2023,BUF,2023-01-21,0,0,24,27,186,1,0,0,4.8,66.7,86.1,4.7,2,2,2223,1.0,0.5,0.5,0.6666666666666666
2023,CAR,2023-09-10,0,0,10,24,127,1,2,2,3.8,52.6,46.7,4.8,0,5,2081,1.0,1.0,0.35714285714285715,0.0
2023,CAR,2023-09-18,0,0,17,20,139,1,0,4,4.6,66.7,85.3,5.3,0,5,1631,0.0,1.0,0.2857142857142857,1.0
2023,CAR,2023-09-24,0,0,27,37,334,2,0,3,6.2,58.6,86.4,3.1,1,5,1772,1.0,0.6666666666666666,0.5263157894736842,0.0
2023,CAR,2023-10-01,0,0,13,21,149,0,0,5,6.4,78.1,86.1,2.7,0,5,2309,1.0,1.0,0.35714285714285715,0.6666666666666666
2023,CAR,2023-10-08,0,0,24,42,243,3,2,1,6.0,61.0,81.7,4.3,0,3,1725,1.0,1.0,0.5,1.0
2023,CAR,2023-10-15,0,0,21,42,188,1,0,4,5.7,61.5,82.0,4.3,1,4,1844,1.0,0.0,0.35714285714285715,0.0
2023,CAR,2023-10-29,1,0,15,13,180,1,0,6,7.6,71.0,96.2,1.8,0,4,1829,0.0,1.0,0.35714285714285715,0.5
2023,CAR,2023-11-05,0,0,13,27,137,1,3,4,4.4,61.5,44.5,4.9,0,4,1869,1.0,1.0,0.4375,0.6666666666666666
2023,CAR,2023-11-09,0,0,13,16,170,0,0,3,4.9,55.3,66.8,2.7,0,6,1589,1.0,0.6666666666666666,0.2,1.0
2023,CAR,2023-11-19,0,0,10,33,77,1,1,7,4.2,55.2,57.7,4.8,0,5,1719,1.0,1.0,0.3333333333333333,1.0
2023,CAR,2023-11-26,0,0,10,17,162,0,0,4,6.3,58.1,72.2,3.0,1,6,2029,1.0,1.0,0.375,0.6666666666666666
2023,CAR,2023-12-03,0,0,18,21,149,0,1,4,5.7,48.4,49.0,3.9,2,8,2022,1.0,1.0,0.2,0.3333333333333333
2023,CAR,2023-12-10,0,0,6,28,99,0,0,4,3.8,36.1,44.7,5.2,0,2,2090,0.0,0.6666666666666666,0.4,0.14285714285714285
2023,CAR,2023-12-17,1,0,9,7,154,0,0,3,7.0,75.0,91.3,3.6,0,5,2036,0.0,1.0,0.3333333333333333,0.0
2023,CAR,2023-12-24,0,0,30,33,298,2,0,2,8.7,63.9,108.3,3.8,2,3,1881,0.3333333333333333,1.0,0.46153846153846156,0.5
2023,CAR,2023-12-31,0,0,0,26,67,0,1,6,3.5,59.4,51.0,3.8,0,6,1591,0.0,0.0,0.07692307692307693,0.5
2023,CAR,2023-01-07,0,0,0,9,68,0,0,3,5.2,61.1,68.7,4.5,0,6,1716,0.0,0.0,0.16666666666666666,1.0
2023,CHI,2023-09-10,0,0,20,38,189,1,1,4,5.8,64.9,75.2,4.2,1,4,1843,0.0,1.0,0.23076923076923078,0.5
2023,CHI,2023-09-17,0,0,17,27,169,1,2,6,7.3,55.2,55.1,4.2,1,5,1444,1.0,1.0,0.46153846153846156,0.0
2023,CHI,2023-09-24,0,0,10,41,87,1,1,3,4.5,50.0,56.4,4.5,0,5,1427,1.0,1.0,0.3333333333333333,0.5
2023,CHI,2023-10-01,0,0,28,31,300,4,1,4,9.6,80.0,128.6,5.5,0,2,2029,1.0,0.0,0.5,0.3333333333333333
2023,CHI,2023-10-05,1,0,40,20,273,4,0,3,9.7,51.7,124.0,5.6,0,3,1804,1.0,1.0,0.4666666666666667,1.0
2023,CHI,2023-10-15,0,0,13,19,113,0,2,5,5.9,66.7,42.5,4.5,1,4,2111,1.0,1.0,0.42857142857142855,0.0
2023,CHI,2023-10-22,1,0,30,12,150,1,0,2,5.6,72.4,95.5,4.6,2,3,2046,0.75,1.0,0.6153846153846154,0.0
2023,CHI,2023-10-29,0,0,13,30,222,0,2,1,6.3,67.6,60.9,2.9,2,3,1712,1.0,0.0,0.42857142857142855,0.25
2023,CHI,2023-11-05,0,0,17,24,212,2,3,2,7.3,60.0,64.2,4.9,0,2,1840,1.0,0.5,0.5,1.0
2023,CHI,2023-11-09,1,0,16,13,162,0,0,0,4.9,60.6,73.0,3.6,1,6,2011,1.0,1.0,0.4,1.0
2023,CHI,2023-11-19,0,0,26,31,151,1,0,2,7.3,69.6,101.9,4.0,1,2,2424,1.0,1.0,0.38461538461538464,1.0
2023,CHI,2023-11-27,1,0,12,10,199,0,0,3,5.9,73.0,85.3,4.2,0,3,2150,0.0,0.8,0.4444444444444444,1.0
2023,CHI,2023-12-10,1,0,28,13,194,1,0,3,6.8,57.6,84.7,4.7,2,3,1999,0.5,1.0,0.42857142857142855,0.5
2023,CHI,2023-12-17,0,0,17,20,148,1,2,3,4.2,47.5,44.6,3.3,0,10,1740,1.0,1.0,0.2222222222222222,0.0
2023,CHI,2023-12-24,1,0,27,16,170,1,1,1,6.3,55.6,71.5,6.4,2,5,2072,1.0,1.0,0.5333333333333333,0.0
2023,CHI,2023-12-31,1,0,37,17,240,1,0,3,8.4,62.5,95.8,5.2,3,4,2234,1.0,0.75,0.375,0.5
2023,CHI,2023-01-07,0,0,9,17,117,0,0,5,9.3,68.8,89.8,3.0,0,3,1716,0.0,1.0,0.2727272727272727,1.0
2023,CIN,2023-09-10,0,0,3,24,67,0,0,2,2.6,43.8,51.0,3.8,0,10,1450,0.0,0.5,0.13333333333333333,0.0
2023,CIN,2023-09-17,0,0,24,27,216,2,1,1,5.4,65.9,85.0,4.4,0,3,1616,1.0,1.0,0.6666666666666666,1.0
2023,CIN,2023-09-25,1,0,19,16,242,0,1,2,5.3,53.1,58.4,2.9,1,5,2160,1.0,0.8,0.29411764705882354,1.0
2023,CIN,2023-10-01,0,0,3,27,139,0,0,3,5.5,66.7,76.9,4.0,0,5,1515,0.0,1.0,0.2222222222222222,0.0
2023,CIN,2023-10-08,1,0,34,20,287,3,1,3,6.9,78.3,105.3,3.1,0,3,2290,1.0,1.0,0.35714285714285715,0.0
2023,CIN,2023-10-15,1,0,17,13,168,2,1,3,5.3,68.6,86.4,3.1,0,6,1559,1.0,1.0,0.2727272727272727,0.0
2023,CIN,2023-10-29,1,0,31,17,266,3,0,3,8.8,87.5,132.6,5.0,1,3,1883,1.0,0.5,0.375,0.0
2023,CIN,2023-11-05,1,0,24,18,343,2,0,1,7.9,70.5,108.4,2.5,1,3,2198,1.0,1.0,0.5333333333333333,0.5
2023,CIN,2023-11-12,0,0,27,30,314,2,2,4,8.7,67.5,86.9,4.1,1,5,1710,1.0,1.0,0.42857142857142855,1.0
2023,CIN,2023-11-16,0,0,20,34,136,2,0,5,5.5,61.3,92.9,5.9,0,5,1763,1.0,0.6666666666666666,0.18181818181818182,1.0
2023,CIN,2023-11-26,0,0,10,16,197,1,1,4,8.7,73.1,91.3,2.3,0,6,1363,1.0,1.0,0.2,0.0
2023,CIN,2023-12-04,1,1,34,31,335,1,1,2,8.9,84.6,100.3,5.0,3,1,2043,1.0,0.6666666666666666,0.5714285714285714,0.5
2023,CIN,2023-12-10,1,0,34,14,274,2,1,0,11.0,76.0,121.1,3.5,2,4,1912,1.0,1.0,0.2727272727272727,1.0
2023,CIN,2023-12-16,1,1,27,24,298,2,1,5,7.7,69.0,95.1,3.6,1,4,1988,1.0,1.0,0.46153846153846156,1.0
2023,CIN,2023-12-23,0,0,11,34,309,1,3,3,8.0,66.7,66.5,3.7,0,3,1909,0.0,1.0,0.46153846153846156,0.0
2023,CIN,2023-12-31,0,0,17,25,159,1,0,6,6.0,57.6,80.2,3.3,1,4,2057,1.0,1.0,0.5,0.3333333333333333
2023,CIN,2023-01-07,1,0,31,14,145,3,1,3,6.3,75.0,107.0,6.1,1,6,2146,1.0,1.0,0.25,0.0
2023,CLE,2023-09-10,1,0,24,3,144,1,1,3,5.3,55.2,65.9,5.2,1,7,2150,1.0,1.0,0.2857142857142857,0.0
2023,CLE,2023-09-18,0,0,22,26,210,1,1,6,5.9,55.0,67.7,5.7,1,5,2128,0.0,0.6666666666666666,0.3125,0.0
2023,CLE,2023-09-24,1,0,27,3,263,2,0,3,8.8,81.8,120.1,2.5,1,3,2309,1.0,1.0,0.46153846153846156,1.0
2023,CLE,2023-10-01,0,0,3,28,73,0,3,4,3.4,52.8,23.8,3.7,0,8,1810,0.0,1.0,0.25,1.0
2023,CLE,2023-10-15,1,0,19,17,174,0,2,2,5.6,52.9,43.0,4.7,1,4,1983,1.0,0.8,0.23076923076923078,1.0
2023,CLE,2023-10-22,1,0,39,38,166,0,2,2,4.9,43.2,34.3,4.5,3,5,1649,1.0,1.0,0.25,0.5
2023,CLE,2023-10-29,0,0,20,24,230,1,2,3,8.0,50.0,58.1,3.9,1,3,2200,1.0,1.0,0.4,0.0
2023,CLE,2023-11-05,1,0,27,0,213,2,0,1,7.3,63.3,106.7,2.8,1,7,2185,1.0,0.6666666666666666,0.35294117647058826,0.5
2023,CLE,2023-11-12,1,0,33,31,195,1,1,4,6.1,57.1,70.5,4.9,1,2,2055,0.5,1.0,0.5,0.5
2023,CLE,2023-11-19,1,0,13,10,163,0,1,1,3.8,55.8,54.7,3.3,1,8,1887,1.0,1.0,0.23529411764705882,1.0
2023,CLE,2023-11-26,0,0,12,29,162,1,0,4,4.5,47.6,65.8,4.5,0,3,1632,0.0,1.0,0.15384615384615385,0.4
2023,CLE,2023-12-03,0,0,19,36,240,2,1,2,5.8,52.3,74.1,3.8,0,5,2043,0.5,1.0,0.4375,0.0
2023,CLE,2023-12-10,1,0,31,27,307,3,1,1,6.9,57.8,91.6,2.9,1,8,1909,1.0,1.0,0.2222222222222222,1.0
2023,CLE,2023-12-17,1,0,20,17,348,2,3,4,8.4,64.4,75.0,1.6,0,9,1860,1.0,1.0,0.25,1.0
2023,CLE,2023-12-24,1,0,36,22,364,3,2,1,8.5,63.6,93.4,1.8,2,3,2014,1.0,0.0,0.375,0.6666666666666666
2023,CLE,2023-12-28,1,0,37,20,301,3,1,1,10.7,65.5,120.0,4.5,1,3,1689,0.8,1.0,0.5,0.0
